ISO 639-3	Code	Language name(s)	Script	Locale	Ethnologue	Variety	Glottocode	Glottolog
lmo	lmo	Lombard	Latin	Italy	https://www.ethnologue.com/language/lmo		lomb1257	https://glottolog.org/resource/languoid/id/lomb1257
ltz	ltz	Luxembourgish	Latin	Luxembourg	https://www.ethnologue.com/language/ltz		luxe1241	https://glottolog.org/resource/languoid/id/luxe1241
mad	mad	Madurese	Latin	Indonesia	https://www.ethnologue.com/language/mad		nucl1460	https://glottolog.org/resource/languoid/id/nucl1460
mag	mag	Magahi	Devanagari	India	https://www.ethnologue.com/language/mag		maga1260	https://glottolog.org/resource/languoid/id/maga1260
mai	mai	Maithili	Devanagari	India	https://www.ethnologue.com/language/mai		mait1250	https://glottolog.org/resource/languoid/id/mait1250
mak	mak	Makassarese, Makasar	Latin	Indonesia	https://www.ethnologue.com/language/mak		maka1311	https://glottolog.org/resource/languoid/id/maka1311
mal	mal	Malayalam	Malayalam	India	https://www.ethnologue.com/language/mal		mala1464	https://glottolog.org/resource/languoid/id/mala1464
mar	mar	Marathi	Devanagari	India	https://www.ethnologue.com/language/mar		mara1378	https://glottolog.org/resource/languoid/id/mara1378
mel	mel	Central Melanau	Latin	Malaysia	https://www.ethnologue.com/language/mel		cent2101	https://glottolog.org/resource/languoid/id/cent2101
min	min	Minangkabau	Latin	Indonesia	https://www.ethnologue.com/language/min		mina1268	https://glottolog.org/resource/languoid/id/mina1268
mkd	mkd	Macedonian	Cyrillic	Macedonia, the former Yugoslav Republic of	https://www.ethnologue.com/language/mkd		mace1250	https://glottolog.org/resource/languoid/id/mace1250
mlg	mlg	Malagasy	Latin	Madagascar	https://www.ethnologue.com/language/mlg			
mlt	mlt	Maltese	Latin	Malta	https://www.ethnologue.com/language/mlt		malt1254	https://glottolog.org/resource/languoid/id/malt1254
mon	mon	Mongolian	Cyrillic	Mongolia	https://www.ethnologue.com/language/mon		mong1331	https://glottolog.org/resource/languoid/id/mong1331
mos	mos	Mossi, Mooré	Latin	Burkina Faso	https://www.ethnologue.com/language/mos		moss1236	https://glottolog.org/resource/languoid/id/moss1236
mri	mri	Maori	Latin	New Zealand	https://www.ethnologue.com/language/mri		maor1246	https://glottolog.org/resource/languoid/id/maor1246
mui	mui	Musi	Latin	Indonesia	https://www.ethnologue.com/language/mui		musi1241	https://glottolog.org/resource/languoid/id/musi1241
mup	mup	Malvi	Devanagari	India	https://www.ethnologue.com/language/mup		malv1243	https://glottolog.org/resource/languoid/id/malv1243
mwr	mwr	Marwari	Devanagari	India	https://www.ethnologue.com/language/mwr			
mya	mya	Burmese, Myanmar	Myanmar	Myanmar	https://www.ethnologue.com/language/mya		nucl1310	https://glottolog.org/resource/languoid/id/nucl1310
nap	nap	Neapolitan, Napoletano-Calabrese	Latin	Italy	https://www.ethnologue.com/language/nap		neap1235	https://glottolog.org/resource/languoid/id/neap1235
nld	nld	Dutch	Latin	Netherlands	https://www.ethnologue.com/language/nld		dutc1256	https://glottolog.org/resource/languoid/id/dutc1256
npi	npi	Nepali	Devanagari	Nepal	https://www.ethnologue.com/language/npi		nepa1254	https://glottolog.org/resource/languoid/id/nepa1254
nso	nso	Northern Sotho, Pedi	Latin	South Africa	https://www.ethnologue.com/language/nso		pedi1238	https://glottolog.org/resource/languoid/id/pedi1238
nya	nya	Nyanja; Chewa; Chichewa, Nyanja, Chichewa	Latin	Malawi	https://www.ethnologue.com/language/nya		nyan1308	https://glottolog.org/resource/languoid/id/nyan1308
ori	ori	Oriya	Oriya	India	https://www.ethnologue.com/language/ori			
orm	orm	Oromo	Latin	Ethiopia	https://www.ethnologue.com/language/orm			
pag	pag	Pangasinan	Latin	Philippines	https://www.ethnologue.com/language/pag		pang1290	https://glottolog.org/resource/languoid/id/pang1290
pam	pam	Kapampangan, Pampanga	Latin	Philippines	https://www.ethnologue.com/language/pam		pamp1243	https://glottolog.org/resource/languoid/id/pamp1243
pcm	pcm	Nigerian Pidgin	Latin	Nigeria	https://www.ethnologue.com/language/pcm		nige1257	https://glottolog.org/resource/languoid/id/nige1257
pes	pes	Persian	Arabic	Iran, Islamic Republic of	https://www.ethnologue.com/language/pes		west2369	https://glottolog.org/resource/languoid/id/west2369
pnb	pnb_pk	Punjabi, Western Punjabi, Panjabi	Arabic	Pakistan	https://www.ethnologue.com/language/pnb		west2386	https://glottolog.org/resource/languoid/id/west2386
pnb	pnb_in	Punjabi, Western Punjabi, Panjabi	Gurmukhi	India	https://www.ethnologue.com/language/pnb		west2386	https://glottolog.org/resource/languoid/id/west2386
pol	pol	Polish	Latin	Poland	https://www.ethnologue.com/language/pol		poli1260	https://glottolog.org/resource/languoid/id/poli1260
por	por_br	Portuguese	Latin	Brazil	https://www.ethnologue.com/language/por		port1283	https://glottolog.org/resource/languoid/id/port1283
por	por_pt	Portuguese	Latin	Portugal	https://www.ethnologue.com/language/por		port1283	https://glottolog.org/resource/languoid/id/port1283
pus	pus	Pashto, Pushto	Arabic	Afghanistan	https://www.ethnologue.com/language/pus		nucl1276	https://glottolog.org/resource/languoid/id/nucl1276
que	que_quechua	Quechua	Latin	Peru	https://www.ethnologue.com/language/que	Quechua		
que	que_spanish	Quechua	Latin	Peru	https://www.ethnologue.com/language/que	Spanish		
rkt	rkt	Rangpuri	Bengali	Bangladesh	https://www.ethnologue.com/language/rkt		rang1265	https://glottolog.org/resource/languoid/id/rang1265
ron	ron	Romanian	Latin	Romania	https://www.ethnologue.com/language/ron		roma1327	https://glottolog.org/resource/languoid/id/roma1327
run	run	Rundi, Kirundi	Latin	Burundi	https://www.ethnologue.com/language/run		rund1242	https://glottolog.org/resource/languoid/id/rund1242
rus	rus	Russian	Cyrillic	Russian Federation	https://www.ethnologue.com/language/rus		russ1263	https://glottolog.org/resource/languoid/id/russ1263
san	san	Sanskrit	Devanagari	India	https://www.ethnologue.com/language/san		sans1269	https://glottolog.org/resource/languoid/id/sans1269
sas	sas	Sasak	Latin	Indonesia	https://www.ethnologue.com/language/sas		sasa1249	https://glottolog.org/resource/languoid/id/sasa1249
scn	scn	Sicilian	Latin	Italy	https://www.ethnologue.com/language/scn		sici1248	https://glottolog.org/resource/languoid/id/sici1248
sin	sin	Sinhala	Sinhala	Sri Lanka	https://www.ethnologue.com/language/sin		sinh1246	https://glottolog.org/resource/languoid/id/sinh1246
skr	skr_no_diacritics	Saraiki	Arabic	Pakistan	https://www.ethnologue.com/language/skr	without diacritics	sera1259	https://glottolog.org/resource/languoid/id/sera1259
skr	skr_with_diacritics	Saraiki	Arabic	Pakistan	https://www.ethnologue.com/language/skr	with diacritics	sera1259	https://glottolog.org/resource/languoid/id/sera1259
slk	slk	Slovak	Latin	Slovakia	https://www.ethnologue.com/language/slk		slov1269	https://glottolog.org/resource/languoid/id/slov1269
slv	slv	Slovenian	Latin	Slovenia	https://www.ethnologue.com/language/slv		slov1268	https://glottolog.org/resource/languoid/id/slov1268
smo	smo	Samoan	Latin	Samoa	https://www.ethnologue.com/language/smo		samo1305	https://glottolog.org/resource/languoid/id/samo1305
sna	sna	Shona	Latin	Zimbabwe	https://www.ethnologue.com/language/sna		shon1251	https://glottolog.org/resource/languoid/id/shon1251
snd	snd	Sindhi	Arabic	Pakistan	https://www.ethnologue.com/language/snd		sind1272	https://glottolog.org/resource/languoid/id/sind1272
som	som	Somali	Latin	Somalia	https://www.ethnologue.com/language/som		soma1255	https://glottolog.org/resource/languoid/id/soma1255
sot	sot	Sesotho, Southern Sotho	Latin	South Africa	https://www.ethnologue.com/language/sot		sout2807	https://glottolog.org/resource/languoid/id/sout2807
spa	spa	Spanish	Latin	Spain	https://www.ethnologue.com/language/spa		stan1288	https://glottolog.org/resource/languoid/id/stan1288
sqi	sqi	Albanian	Latin	Albania	https://www.ethnologue.com/language/sqi		alba1267	https://glottolog.org/resource/languoid/id/alba1267
srd	srd	Sardinian	Latin	Italy	https://www.ethnologue.com/language/srd			
srp	srp	Serbian	Latin	Serbia	https://www.ethnologue.com/language/srp		serb1264	https://glottolog.org/resource/languoid/id/serb1264
sun	sun	Sundanese, Sunda	Latin	Indonesia	https://www.ethnologue.com/language/sun		sund1252	https://glottolog.org/resource/languoid/id/sund1252
swa	swa	Swahili	Latin	Kenya	https://www.ethnologue.com/language/swa			
swe	swe	Swedish	Latin	Sweden	https://www.ethnologue.com/language/swe		swed1254	https://glottolog.org/resource/languoid/id/swed1254
syl	syl	Sylheti	Bengali	Bangladesh	https://www.ethnologue.com/language/syl		sylh1242	https://glottolog.org/resource/languoid/id/sylh1242
tam	tam	Tamil	Tamil	India	https://www.ethnologue.com/language/tam		tami1289	https://glottolog.org/resource/languoid/id/tami1289
tat	tat	Tatar	Cyrillic	Russian Federation	https://www.ethnologue.com/language/tat		tata1255	https://glottolog.org/resource/languoid/id/tata1255
tel	tel	Telugu	Telugu	India	https://www.ethnologue.com/language/tel		telu1262	https://glottolog.org/resource/languoid/id/telu1262
tgk	tgk	Tajik, Tajiki	Cyrillic	Tajikistan	https://www.ethnologue.com/language/tgk		taji1245	https://glottolog.org/resource/languoid/id/taji1245
tha	tha	Thai	Thai	Thailand	https://www.ethnologue.com/language/tha		thai1261	https://glottolog.org/resource/languoid/id/thai1261
tks	tks	Takestani	Arabic	Iran, Islamic Republic of	https://www.ethnologue.com/language/tks		take1255	https://glottolog.org/resource/languoid/id/take1255
tsn	tsn	Tswana, Setswana	Latin	Botswana	https://www.ethnologue.com/language/tsn		tswa1253	https://glottolog.org/resource/languoid/id/tswa1253
tts	tts	Northeastern Thai	Thai	Thailand	https://www.ethnologue.com/language/tts		nort2741	https://glottolog.org/resource/languoid/id/nort2741
tuk	tuk	Turkmen	Latin	Turkmenistan	https://www.ethnologue.com/language/tuk		turk1304	https://glottolog.org/resource/languoid/id/turk1304
tur	tur	Turkish	Latin	Turkey	https://www.ethnologue.com/language/tur		nucl1301	https://glottolog.org/resource/languoid/id/nucl1301
uig	uig	Uyghur, Uighur	Arabic	China	https://www.ethnologue.com/language/uig		uigh1240	https://glottolog.org/resource/languoid/id/uigh1240
ukr	ukr	Ukrainian	Cyrillic	Ukraine	https://www.ethnologue.com/language/ukr		ukra1253	https://glottolog.org/resource/languoid/id/ukra1253
urd	urd	Urdu	Arabic	Pakistan	https://www.ethnologue.com/language/urd		urdu1245	https://glottolog.org/resource/languoid/id/urdu1245
uzb	uzb	Uzbek	Latin	Uzbekistan	https://www.ethnologue.com/language/uzb		uzbe1247	https://glottolog.org/resource/languoid/id/uzbe1247
vec	vec	Venetian	Latin	Italy	https://www.ethnologue.com/language/vec		vene1258	https://glottolog.org/resource/languoid/id/vene1258
vie	vie_north	Vietnamese	Latin	Viet Nam	https://www.ethnologue.com/language/vie	North	viet1252	https://glottolog.org/resource/languoid/id/viet1252
vie	vie_south	Vietnamese	Latin	Viet Nam	https://www.ethnologue.com/language/vie	South	viet1252	https://glottolog.org/resource/languoid/id/viet1252
wne	wne	Wanetsi	Arabic	Pakistan	https://www.ethnologue.com/language/wne		wane1241	https://glottolog.org/resource/languoid/id/wane1241
wol	wol	Wolof	Latin	Senegal	https://www.ethnologue.com/language/wol		nucl1347	https://glottolog.org/resource/languoid/id/nucl1347
wrz	wrz	Waray	Latin	Philippines	https://www.ethnologue.com/language/wrz		wara1290	https://glottolog.org/resource/languoid/id/wara1290
xho	xho	isiXhosa, Xhosa	Latin	South Africa	https://www.ethnologue.com/language/xho		xhos1239	https://glottolog.org/resource/languoid/id/xhos1239
yid	yid	Yiddish	Hebrew	United States of America	https://www.ethnologue.com/language/yid		yidd1255	https://glottolog.org/resource/languoid/id/yidd1255
yor	yor	Yoruba	Latin	Nigeria	https://www.ethnologue.com/language/yor		yoru1245	https://glottolog.org/resource/languoid/id/yoru1245
yue	yue	Chinese, Cantonese, Yue Chinese	Han (Traditional variant)	Hong Kong	https://www.ethnologue.com/language/yue		yuec1235	https://glottolog.org/resource/languoid/id/yuec1235
zlm	zlm	Malay	Latin	Malaysia	https://www.ethnologue.com/language/zlm		mala1479	https://glottolog.org/resource/languoid/id/mala1479
zul	zul	Zulu	Latin	South Africa	https://www.ethnologue.com/language/zul		zulu1248	https://glottolog.org/resource/languoid/id/zulu1248
